Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean,Rolling_Std,Rolling_Volatility,ATR,GARCH_Volatility
1/2/2015,24.28858185,24.75733628,23.84870741,24.74622768,212818400,,,,,,
1/5/2015,23.60433197,24.13751251,23.41771971,24.05753535,257142000,-0.028171669,,,,,0.02000487
1/6/2015,23.60655975,23.86648476,23.24444036,23.66876385,263188400,9.44E-05,,,,,0.021149815
1/7/2015,23.93757248,24.0375431,23.70430543,23.81538466,160423600,0.014022065,,,,,0.019856444
1/8/2015,24.85730743,24.9150691,24.14862148,24.26636687,237458000,0.038422232,,,,,0.019103245
1/9/2015,24.88396835,25.15944436,24.48408247,25.03059205,214798000,0.001072559,,,,,0.021568599
1/12/2015,24.27081299,25.02170801,24.17084235,25.01504353,198603200,-0.024640578,,,,,0.020229177
1/13/2015,24.48630142,25.05947055,24.19527443,24.75511291,268367600,0.008878501,,,,,0.020837906
1/14/2015,24.39300346,24.54629167,24.10419674,24.22416253,195826400,-0.00381021,,,,,0.019705435
1/15/2015,23.73096085,24.45075361,23.69541638,24.43742464,240056000,-0.027140677,,,,,0.018631818
1/16/2015,23.54657364,23.89980646,23.37106826,23.77761863,314053200,-0.007769901,,,,,0.019899934
1/20/2015,24.15307045,24.20861007,23.65987835,23.9575699,199599600,0.025757328,,,,,0.018970306
1/21/2015,24.33745956,24.67291761,24.05309532,24.20416313,194303600,0.007634189,,,,,0.019504205
1/22/2015,24.97060776,24.98615878,24.3752231,24.49518886,215185600,0.026015377,,,,0.704083381,0.018465571
1/23/2015,25.09945488,25.27051609,24.77732421,24.94838711,185859200,0.005159951,,,,0.674409311,0.019123251
1/26/2015,25.12611198,25.40603201,25.05946549,25.26829321,222460000,0.001062059,,,,0.636959624,0.018057329
1/27/2015,24.2463665,24.9883764,24.22192894,24.97504575,382274800,-0.035013196,,,,0.657112384,0.017066047
1/28/2015,25.6170826,26.2413488,25.6170826,26.13248998,585908400,0.056532846,,,,0.768826595,0.020063967
1/29/2015,26.41464043,26.47906658,25.67263031,25.84147121,337745600,0.031133828,,,,0.760575693,0.025893933
1/30/2015,26.02807999,26.65900905,25.95920973,26.30355594,334982000,-0.014634325,,,,0.762321224,0.02595881
2/2/2015,26.35466003,26.47462582,25.78815692,26.2258094,250956400,0.01254722,0.004357599,0.023813395,0.023813395,0.750578598,0.02477836
2/3/2015,26.35910034,26.45684891,26.12805535,26.32577624,207662800,0.000168483,0.005774607,0.022587508,0.022587508,0.712335558,0.023401447
2/4/2015,26.56126213,26.77231366,26.28356409,26.32577473,280598800,0.007669525,0.006153364,0.022550729,0.022550729,0.715668032,0.021893082
2/5/2015,26.75084496,26.81552537,26.59695011,26.76868648,168984800,0.007137568,0.005809139,0.022476718,0.022476718,0.679877034,0.020612379
2/6/2015,26.52557755,26.81998395,26.4185199,26.76868511,174826400,-0.008420946,0.00346698,0.021309772,0.021309772,0.670786024,0.019444265
2/9/2015,26.7017765,26.72853964,26.41406087,26.44082571,155559200,0.006642606,0.003745482,0.02131323,0.02131323,0.645960477,0.018601197
2/10/2015,27.21474838,27.24374404,26.79990457,26.80213369,248034000,0.019211152,0.005938069,0.020478604,0.020478604,0.640399423,0.017625931
2/11/2015,27.85263252,27.86155413,27.32180941,27.38202816,294247200,0.023438914,0.00666609,0.020844189,0.020844189,0.640264175,0.017613633
2/12/2015,28.20503426,28.43253114,28.00653304,28.11581983,297898000,0.012652367,0.007489218,0.020733467,0.020733467,0.646457513,0.018089442
2/13/2015,28.34331894,28.38792531,28.02437848,28.38792531,217088800,0.004902837,0.009091394,0.019089508,0.019089508,0.647670392,0.017457053
2/17/2015,28.51059151,28.74477916,28.30762865,28.43475865,252609600,0.005901658,0.009774972,0.018694641,0.018694641,0.614310926,0.016559279
2/18/2015,28.70908356,28.72246512,28.42582798,28.46597437,179566800,0.006962046,0.008835208,0.018317544,0.018317544,0.493000557,0.015782619
2/19/2015,28.64886665,28.77822746,28.62210352,28.65555744,149449600,-0.002097486,0.008348624,0.018479665,0.018479665,0.442581983,0.015127599
2/20/2015,28.88305855,28.88305855,28.55965819,28.68678648,195793600,0.008174561,0.007456583,0.018006524,0.018006524,0.415696342,0.014500973
2/23/2015,29.66367149,29.66367149,28.918735,28.99902778,283896400,0.027026672,0.008549919,0.018516379,0.018516379,0.422420917,0.014050812
2/24/2015,29.47856331,29.79750543,29.2555281,29.65030137,276912400,-0.006240232,0.008184805,0.018742415,0.018742415,0.43764833,0.015787175
2/25/2015,28.72469902,29.35143073,28.58195664,29.34250742,298846800,-0.025573305,0.008656799,0.017686407,0.017686407,0.466780979,0.015252721
2/26/2015,29.0882473,29.18861245,28.23848382,28.72469887,365150000,0.012656295,0.006462972,0.013709378,0.013709378,0.516485649,0.017021541
2/27/2015,28.65110588,29.12171033,28.60203786,28.99457862,248059200,-0.015028111,0.004154875,0.013214153,0.013214153,0.524929107,0.016521702
3/2/2015,28.79161453,29.05702698,28.61541821,28.82730098,192386800,0.004904127,0.005131798,0.01245223,0.01245223,0.534009821,0.016595806
3/3/2015,28.85182953,28.88751597,28.56857391,28.76261682,151265200,0.002091407,0.004609007,0.01234353,0.01234353,0.51807943,0.015790636
3/4/2015,28.6689415,28.89643834,28.61987689,28.79384406,126665200,-0.006338871,0.004283639,0.012550766,0.012550766,0.491633409,0.015039062
3/5/2015,28.1938839,28.71578551,28.04891066,28.67786993,226068400,-0.016570462,0.00307164,0.01335145,0.01335145,0.497845997,0.014603318
3/6/2015,28.23625565,28.85406239,28.1604245,28.63771798,291368400,0.00150287,0.002789905,0.013320552,0.013320552,0.52142393,0.015180125
3/9/2015,28.35669708,28.89867442,27.89278343,28.53958589,354114000,0.004265489,0.003424227,0.013058072,0.013058072,0.562048251,0.014495829
3/10/2015,27.77011108,28.37453623,27.61175631,28.19387827,275426400,-0.020685978,0.002057797,0.014092464,0.014092464,0.595344163,0.013913983
