Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean,Rolling_Std,Rolling_Volatility,ATR,GARCH_Volatility
1/2/2015,39.99869537,40.56326196,39.81050869,39.91315627,27913900,,,,,,
1/5/2015,39.63089752,39.97305741,39.56246359,39.66511123,39673900,-0.009195246,,,,,0.020563328
1/6/2015,39.04920578,39.99014916,38.95511079,39.6736505,36447900,-0.014677733,,,,,0.019175429
1/7/2015,39.54533768,39.74208026,38.91234037,39.33148662,29114100,0.012705301,,,,,0.018595439
1/8/2015,40.70869064,40.8455552,39.96448982,39.9901509,29645200,0.029418208,,,,,0.017631371
1/9/2015,40.36653137,40.90543704,40.11846658,40.72580291,23944200,-0.008405067,,,,,0.019510352
1/12/2015,39.86183929,40.66592143,39.65654409,40.56327056,23651900,-0.012502736,,,,,0.01823267
1/13/2015,39.65652847,40.98240397,39.39990794,40.17832542,35270600,-0.005150561,,,,,0.017573028
1/14/2015,39.31437302,39.55388839,39.02353548,39.31437302,29719600,-0.008627973,,,,,0.016392125
1/15/2015,38.90377808,39.67364307,38.84390005,39.53677855,32750800,-0.010443889,,,,,0.015673643
1/16/2015,39.5538826,39.58809628,38.63859731,38.75835661,35695300,0.016710576,,,,,0.015277619
1/20/2015,39.6822052,39.90461215,38.98077393,39.60521868,36161900,0.003244248,,,,,0.015457325
1/21/2015,39.28016663,39.46835663,38.90378988,39.2972751,39081100,-0.010131457,,,,,0.014448541
1/22/2015,40.31520844,40.32376104,39.41703451,39.67365516,35898000,0.02635024,,,,0.920779116,0.01426675
1/23/2015,40.35797501,40.53760913,40.03292046,40.51194804,26211600,0.001060805,,,,0.903060215,0.016520141
1/26/2015,40.21253967,40.3151905,39.55388148,40.20398707,42525500,-0.003603633,,,,0.929336053,0.01532018
1/27/2015,36.49154282,36.95346186,36.02107116,36.73961082,169164000,-0.092533247,,,,1.154795349,0.014432743
1/28/2015,35.23409653,36.60274515,35.20843545,36.5599756,84507100,-0.034458567,,,,1.195121764,0.038366423
1/29/2015,35.9355278,36.02962278,34.89193693,35.01169299,63585300,0.019907741,,,,1.183512359,0.036843486
1/30/2015,34.55832291,35.56769989,34.5155501,35.54203555,78004900,-0.038324326,,,,1.228727162,0.033652379
